False_Positive_Rate,True_Positive_Rate,Threshold
0.4580152671755725,1.0,0.0041964285714285714
0.4678298800436205,1.0,0.004166666666666667
0.46892039258451473,1.0,0.0040625
0.47001090512540894,1.0,0.0040416666666666665
0.4721919302071974,1.0,0.004
0.4749182115594329,1.0,0.003958333333333333
0.47546346782988,1.0,0.003875
0.4765539803707743,1.0,0.003833333333333333
0.49073064340239914,1.0,0.00375
0.49182115594329334,1.0,0.003666666666666667
0.49291166848418755,1.0,0.003583333333333333
0.4956379498364231,1.0,0.0035416666666666665
0.49781897491821153,1.0,0.0034999999999999996
0.5,1.0,0.003392857142857143
0.5016357688113413,1.0,0.0033750000000000004
0.5125408942202835,1.0,0.003333333333333333
0.5130861504907307,1.0,0.0032916666666666667
0.5141766630316249,1.0,0.0032500000000000003
0.514721919302072,1.0,0.003208333333333333
0.5158124318429662,1.0,0.0031666666666666666
0.5163576881134133,1.0,0.0031547619047619046
0.5261723009814613,1.0,0.003125
0.5267175572519084,1.0,0.0030952380952380953
0.5278080697928026,1.0,0.0030833333333333333
0.5283533260632497,1.0,0.0030625
0.5294438386041439,1.0,0.003
0.529989094874591,1.0,0.002916666666666667
0.5398037077426391,1.0,0.0029166666666666664
0.5403489640130862,1.0,0.0027976190476190475
0.5419847328244275,1.0,0.0027500000000000003
0.5430752453653217,1.0,0.002708333333333333
0.5441657579062159,1.0,0.002583333333333333
0.5806979280261723,1.0,0.0025
0.5823336968375137,1.0,0.002261904761904762
0.583969465648855,1.0,0.0022500000000000003
0.5845147219193021,1.0,0.00225
0.5856052344601963,1.0,0.0021875
0.5866957470010905,1.0,0.0021428571428571425
0.5992366412213741,1.0,0.0020833333333333333
0.6025081788440567,1.0,0.002
0.6030534351145038,1.0,0.001958333333333333
0.6150490730643402,1.0,0.001875
0.6155943293347873,1.0,0.0017857142857142857
0.6166848418756816,1.0,0.0017499999999999998
0.6390403489640131,1.0,0.0016666666666666666
0.6395856052344602,1.0,0.0016250000000000001
0.6406761177753544,1.0,0.001607142857142857
0.6412213740458015,1.0,0.0015625
0.64340239912759,1.0,0.0015
0.6444929116684842,1.0,0.0014166666666666666
0.6461286804798255,1.0,0.0013333333333333333
0.7104689203925845,1.0,0.00125
0.7115594329334788,1.0,0.0010714285714285713
0.7131952017448201,1.0,0.001
0.7137404580152672,1.0,0.0009375
0.7366412213740458,1.0,0.0008333333333333333
0.7431842966194111,1.0,0.000625
0.7459105779716467,1.0,0.0005
0.747546346782988,1.0,0.00041666666666666664
0.7480916030534351,1.0,0.00035714285714285714
1.0,1.0,0.0
